latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-8.207,115.949,25,6.1,NA,6.1,2341.402001,52.9,38,9,30,5,1979
-8.345,116.103,33,4.9,NA,4.9,2358.039053,14.2,56,0,16,6,1979
-8.257,116.183,33,4.7,NA,4.7,2362.944542,8.4,40,22,20,6,1979
-8.449,115.901,33,5.1,NA,5.1,2363.406424,15,45,9,21,6,1979
-8.254,115.847,38,6.4,6.2,6.4,2484.070259,10.4,41,1,20,10,1979
-8.39,115.889,33,6.5,6.3,6.5,2542.83222,23.8,58,19,17,12,1979
-8.208,116.135,33,4.8,NA,4.8,2574.361781,57.9,40,8,18,1,1980
-8.442,116.096,33,5.2,NA,5.2,2577.687047,20.9,29,16,21,1,1980
-8.133,116.181,33,4.9,NA,4.9,2577.721091,22.3,18,17,21,1,1980
-8.27,116.155,33,4.7,NA,4.7,2577.93481,7.6,26,22,21,1,1980
-8.239,116.347,33,5.1,NA,5.1,2620.595501,31.3,17,14,4,3,1980
-8.158,116.357,33,5.7,5.1,5.7,2620.603208,37.2,28,14,4,3,1980
-8.242,116.195,33,4.6,NA,4.6,2943.391787,10.4,24,9,21,1,1981
-8.301,115.862,33,4.2,NA,4.2,3167.854882,1.83,31,20,2,9,1981
-8.667,116.058,33,4.2,NA,4.2,3201.834718,59.63,1,20,6,10,1981
-8.403,116.833,33,4.2,NA,4.2,3339.476325,54.45,25,11,21,2,1982
-8.201,116.009,33,3.9,NA,3.9,3399.86539,9.7,46,20,22,4,1982
-8.267,115.868,33,4.4,NA,4.4,3588.144709,22.86,28,3,28,10,1982
-8.353,116.675,10,5,NA,5,5205.474497,16.57,23,11,2,4,1987
-8.429,116.753,33,4.5,NA,4.5,5205.488067,49.03,42,11,2,4,1987
-8.228,116.02,33,5.1,NA,5.1,5806.223914,26.15,22,5,23,11,1988
-8.377,115.967,33,4.6,NA,4.6,5809.274366,5.19,35,6,26,11,1988
-8.463,115.892,33,4.9,NA,4.9,5874.612676,15.21,42,14,30,9,1989
